show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_minutes,num_seasons,primary_genre
s15,Movie,Lost Horizon,Director 125,"Actor 150, Actor 314",Canada,2011-12-26,2008,TV-14,94 min,International Movies,A gripping story that unfolds over time.,2011,December,94.0,,International Movies
s16,Movie,Rising Dreams,Director 319,"Actor 787, Actor 604",Canada,2002-06-26,2001,TV-PG,99 min,Stand-Up Comedy,A gripping story that unfolds over time.,2002,June,99.0,,Stand-Up Comedy
s17,Movie,Golden City,Not Given,"Actor 154, Actor 656",United Kingdom,2000-07-19,2000,TV-Y7,162 min,"Anime Series, Documentaries",A gripping story that unfolds over time.,2000,July,162.0,,Anime Series
s18,TV Show,Lost Journey,Director 250,"Actor 659, Actor 442",United States,2001-12-01,2000,R,4 Seasons,Children & Family Movies,A gripping story that unfolds over time.,2001,December,,4.0,Children & Family Movies
s19,Movie,Rising Horizon,Director 43,"Actor 556, Actor 285",Nigeria,2022-08-13,2019,TV-MA,134 min,"Crime TV Shows, Children & Family Movies",A gripping story that unfolds over time.,2022,August,134.0,,Crime TV Shows
s20,Movie,Forgotten Empire,Director 249,"Actor 676, Actor 394",Japan,2011-03-05,2011,TV-MA,105 min,Reality TV,A gripping story that unfolds over time.,2011,March,105.0,,Reality TV
s21,TV Show,Last Legacy,Not Given,"Actor 19, Actor 177",India,2021-03-04,2021,PG,8 Season,"Reality TV, Action & Adventure",A gripping story that unfolds over time.,2021,March,,8.0,Reality TV
s22,Movie,Secret Storm,Director 398,"Actor 223, Actor 634",United States,2026-09-05,2024,TV-14,122 min,"Comedies, Anime Series",A gripping story that unfolds over time.,2026,September,122.0,,Comedies
s23,TV Show,Wild Journey,Director 321,"Actor 342, Actor 500",Italy,2017-02-17,2015,TV-G,6 Seasons,International Movies,A gripping story that unfolds over time.,2017,February,,6.0,International Movies
s24,TV Show,Final Legacy,Director 423,"Actor 1, Actor 387",India,2026-04-13,2025,PG-13,4 Seasons,Action & Adventure,A gripping story that unfolds over time.,2026,April,,4.0,Action & Adventure
s25,Movie,Secret Shadows,Not Given,"Actor 143, Actor 415",United States,2015-01-01,2012,TV-MA,116 min,Dramas,A gripping story that unfolds over time.,2015,January,116.0,,Dramas
s26,Movie,Hidden Signal,Director 192,"Actor 923, Actor 502",United States,2019-07-17,2016,PG-13,161 min,"Dramas, Documentaries",A gripping story that unfolds over time.,2019,July,161.0,,Dramas
s27,Movie,Forgotten Journey,Director 224,"Actor 239, Actor 177",United States,2012-12-11,2012,PG,102 min,Romantic Movies,A gripping story that unfolds over time.,2012,December,102.0,,Romantic Movies
s28,Movie,Silent Journey,Director 202,"Actor 458, Actor 83",Australia,2012-11-17,2011,PG-13,92 min,Reality TV,A gripping story that unfolds over time.,2012,November,92.0,,Reality TV
s29,Movie,Last City,Director 313,"Actor 401, Actor 624",United States,2006-03-15,2006,PG,74 min,"Reality TV, Action & Adventure",A gripping story that unfolds over time.,2006,March,74.0,,Reality TV
s30,Movie,Secret City,Director 30,"Actor 759, Actor 106",Germany,2022-02-19,2021,TV-G,166 min,Dramas,A gripping story that unfolds over time.,2022,February,166.0,,Dramas
s31,TV Show,Secret Storm,Director 400,"Actor 520, Actor 900",Australia,2022-08-08,2021,TV-Y7,7 Seasons,Reality TV,A gripping story that unfolds over time.,2022,August,,7.0,Reality TV
s32,TV Show,Last Journey,Director 433,"Actor 78, Actor 730",Canada,2015-03-13,2012,TV-14,1 Seasons,"Kids' TV, Thrillers",A gripping story that unfolds over time.,2015,March,,1.0,Kids' TV
s33,Movie,Endless City,Director 78,"Actor 216, Actor 386",South Korea,2005-09-13,2003,TV-14,83 min,"Comedies, Thrillers",A gripping story that unfolds over time.,2005,September,83.0,,Comedies
s34,Movie,Secret Kingdom,Director 25,"Actor 145, Actor 525",South Korea,2006-07-20,2004,TV-14,155 min,Romantic Movies,A gripping story that unfolds over time.,2006,July,155.0,,Romantic Movies
s35,Movie,Endless Heist,Director 437,"Actor 662, Actor 277",United States,2010-02-06,2010,PG-13,139 min,Crime TV Shows,A gripping story that unfolds over time.,2010,February,139.0,,Crime TV Shows
s36,Movie,Lost City,Director 62,"Actor 441, Actor 194",United States,2015-11-15,2014,TV-G,163 min,"Dramas, Stand-Up Comedy",A gripping story that unfolds over time.,2015,November,163.0,,Dramas
s37,Movie,Forgotten Legacy,Director 390,"Actor 690, Actor 10",United States,2014-12-05,2014,TV-PG,146 min,"Reality TV, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2014,December,146.0,,Reality TV
s38,Movie,Rising Shadows,Director 137,"Actor 930, Actor 588",Germany,2025-08-03,2025,PG-13,147 min,Action & Adventure,A gripping story that unfolds over time.,2025,August,147.0,,Action & Adventure
s39,Movie,Final Chronicles,Director 104,"Actor 526, Actor 800",Australia,2021-12-19,2020,TV-G,87 min,"Action & Adventure, Children & Family Movies",A gripping story that unfolds over time.,2021,December,87.0,,Action & Adventure
s40,Movie,Final Legacy,Director 478,"Actor 231, Actor 923",United States,2017-01-04,2015,TV-Y7,84 min,Dramas,A gripping story that unfolds over time.,2017,January,84.0,,Dramas
s41,TV Show,Endless Journey,Director 130,"Actor 411, Actor 95",Germany,2020-05-19,2020,R,5 Seasons,Anime Series,A gripping story that unfolds over time.,2020,May,,5.0,Anime Series
s42,TV Show,Endless Shadows,Director 171,"Actor 460, Actor 356",India,2017-11-16,2015,TV-Y7,1 Season,International Movies,A gripping story that unfolds over time.,2017,November,,1.0,International Movies
s43,TV Show,Broken City,Director 55,"Actor 371, Actor 936",Germany,2026-10-15,2024,TV-MA,7 Season,Action & Adventure,A gripping story that unfolds over time.,2026,October,,7.0,Action & Adventure
s44,Movie,Forgotten Heist,Not Given,"Actor 967, Actor 180",Germany,2001-10-06,2001,PG,120 min,Anime Series,A gripping story that unfolds over time.,2001,October,120.0,,Anime Series
s45,Movie,Last Storm,Not Given,"Actor 215, Actor 435",Japan,2009-11-27,2009,TV-G,70 min,"Stand-Up Comedy, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2009,November,70.0,,Stand-Up Comedy
s46,TV Show,Broken Kingdom,Director 288,"Actor 778, Actor 458",United States,2011-01-19,2010,TV-Y7,8 Seasons,"Kids' TV, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2011,January,,8.0,Kids' TV
s47,Movie,Golden Horizon,Director 264,"Actor 418, Actor 803",United States,2014-07-24,2012,TV-MA,120 min,"Children & Family Movies, Anime Series",A gripping story that unfolds over time.,2014,July,120.0,,Children & Family Movies
s48,TV Show,Broken Signal,Director 404,"Actor 523, Actor 746",Nigeria,2024-04-02,2022,TV-MA,2 Seasons,"Anime Series, Children & Family Movies",A gripping story that unfolds over time.,2024,April,,2.0,Anime Series
s49,Movie,Last Shadows,Director 450,"Actor 237, Actor 281",India,2004-05-07,2001,PG,150 min,"Thrillers, Romantic Movies",A gripping story that unfolds over time.,2004,May,150.0,,Thrillers
s50,Movie,Last Journey,Director 87,"Actor 629, Actor 874",United States,2019-04-22,2018,PG,94 min,Sci-Fi & Fantasy,A gripping story that unfolds over time.,2019,April,94.0,,Sci-Fi & Fantasy
s51,Movie,Last Horizon,Director 29,"Actor 149, Actor 779",France,2024-11-08,2023,R,122 min,"Documentaries, Kids' TV",A gripping story that unfolds over time.,2024,November,122.0,,Documentaries
s52,Movie,Forgotten Kingdom,Director 482,"Actor 201, Actor 154",Japan,2026-07-02,2024,TV-PG,131 min,"Horror Movies, Stand-Up Comedy",A gripping story that unfolds over time.,2026,July,131.0,,Horror Movies
s53,Movie,Rising Horizon,Director 445,"Actor 17, Actor 330",United Kingdom,2002-01-25,2002,TV-PG,113 min,Dramas,A gripping story that unfolds over time.,2002,January,113.0,,Dramas
s54,Movie,Secret Dreams,Director 199,"Actor 401, Actor 919",Spain,2006-08-26,2005,TV-G,116 min,Crime TV Shows,A gripping story that unfolds over time.,2006,August,116.0,,Crime TV Shows
s55,Movie,Endless Horizon,Not Given,"Actor 805, Actor 171",Spain,2025-05-08,2024,PG-13,129 min,Crime TV Shows,A gripping story that unfolds over time.,2025,May,129.0,,Crime TV Shows
s56,Movie,Wild Shadows,Director 39,"Actor 814, Actor 29",Canada,2014-08-17,2012,TV-G,101 min,Action & Adventure,A gripping story that unfolds over time.,2014,August,101.0,,Action & Adventure
s57,Movie,Broken Shadows,Not Given,"Actor 705, Actor 949",United States,2014-08-14,2014,PG-13,131 min,Anime Series,A gripping story that unfolds over time.,2014,August,131.0,,Anime Series
s58,Movie,Secret Storm,Not Given,"Actor 660, Actor 861",United States,2003-08-22,2003,R,121 min,Anime Series,A gripping story that unfolds over time.,2003,August,121.0,,Anime Series
s59,Movie,Wild Heist,Director 145,"Actor 216, Actor 3",United States,2015-11-03,2014,TV-14,104 min,"Action & Adventure, Kids' TV",A gripping story that unfolds over time.,2015,November,104.0,,Action & Adventure
s60,Movie,Endless Chronicles,Not Given,"Actor 984, Actor 124",France,2009-09-15,2007,TV-PG,74 min,"Sci-Fi & Fantasy, Reality TV",A gripping story that unfolds over time.,2009,September,74.0,,Sci-Fi & Fantasy
s61,Movie,Endless Shadows,Director 289,"Actor 262, Actor 216",Canada,2022-10-19,2019,TV-PG,109 min,Kids' TV,A gripping story that unfolds over time.,2022,October,109.0,,Kids' TV
s62,TV Show,Silent Storm,Director 158,"Actor 551, Actor 927",United States,2009-11-18,2007,TV-G,2 Seasons,Stand-Up Comedy,A gripping story that unfolds over time.,2009,November,,2.0,Stand-Up Comedy
s63,TV Show,Dark Dreams,Director 60,"Actor 335, Actor 222",United States,2022-12-05,2022,TV-14,1 Seasons,"Children & Family Movies, Crime TV Shows",A gripping story that unfolds over time.,2022,December,,1.0,Children & Family Movies
s64,Movie,Wild Signal,Not Given,"Actor 381, Actor 460",United States,2026-04-07,2024,TV-PG,105 min,Horror Movies,A gripping story that unfolds over time.,2026,April,105.0,,Horror Movies
s65,Movie,Broken City,Director 382,"Actor 748, Actor 440",United States,2024-03-21,2022,TV-PG,144 min,Anime Series,A gripping story that unfolds over time.,2024,March,144.0,,Anime Series
s66,TV Show,Forgotten Empire,Director 309,"Actor 520, Actor 591",Spain,2026-06-27,2023,TV-MA,4 Seasons,Stand-Up Comedy,A gripping story that unfolds over time.,2026,June,,4.0,Stand-Up Comedy
s67,TV Show,Lost Journey,Director 64,"Actor 717, Actor 721",United States,2022-12-08,2020,TV-G,5 Seasons,"International Movies, Comedies",A gripping story that unfolds over time.,2022,December,,5.0,International Movies
s68,Movie,Lost City,Director 424,"Actor 928, Actor 242",United States,2020-06-01,2019,R,161 min,International Movies,A gripping story that unfolds over time.,2020,June,161.0,,International Movies
s69,Movie,Silent Heist,Director 359,"Actor 223, Actor 416",Australia,2002-01-09,2002,TV-MA,75 min,"Anime Series, International Movies",A gripping story that unfolds over time.,2002,January,75.0,,Anime Series
s70,TV Show,Final Heist,Not Given,"Actor 909, Actor 537",Germany,2024-12-13,2023,R,2 Seasons,"Crime TV Shows, Reality TV",A gripping story that unfolds over time.,2024,December,,2.0,Crime TV Shows
s71,Movie,Final Horizon,Not Given,"Actor 959, Actor 207",Spain,2011-04-01,2010,PG-13,104 min,Reality TV,A gripping story that unfolds over time.,2011,April,104.0,,Reality TV
s72,TV Show,Broken Shadows,Director 426,"Actor 755, Actor 371",Spain,2005-10-26,2005,R,7 Seasons,"Thrillers, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2005,October,,7.0,Thrillers
s73,TV Show,Rising Empire,Director 326,"Actor 145, Actor 891",Japan,2006-02-25,2006,R,7 Season,Kids' TV,A gripping story that unfolds over time.,2006,February,,7.0,Kids' TV
s74,TV Show,Last Journey,Director 313,"Actor 576, Actor 886",India,2008-05-20,2008,TV-PG,4 Seasons,"Horror Movies, Dramas",A gripping story that unfolds over time.,2008,May,,4.0,Horror Movies
s75,Movie,Last Storm,Not Given,"Actor 59, Actor 837",Canada,2019-05-01,2017,PG,104 min,Documentaries,A gripping story that unfolds over time.,2019,May,104.0,,Documentaries
s76,Movie,Dark Legacy,Not Given,"Actor 375, Actor 8",Turkey,2002-04-18,2001,TV-14,149 min,"Dramas, Action & Adventure",A gripping story that unfolds over time.,2002,April,149.0,,Dramas
s77,Movie,Secret Legacy,Not Given,"Actor 976, Actor 654",Brazil,2020-06-21,2020,TV-MA,102 min,"International Movies, Children & Family Movies",A gripping story that unfolds over time.,2020,June,102.0,,International Movies
s78,Movie,Lost Legacy,Director 397,"Actor 279, Actor 851",United States,2017-12-13,2016,PG,88 min,"Romantic Movies, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2017,December,88.0,,Romantic Movies
s79,TV Show,Forgotten Horizon,Director 430,"Actor 777, Actor 3",United States,2004-07-21,2003,PG,8 Seasons,Children & Family Movies,A gripping story that unfolds over time.,2004,July,,8.0,Children & Family Movies
s80,TV Show,Golden Storm,Director 124,"Actor 399, Actor 793",United States,2016-12-04,2015,TV-G,3 Seasons,"Sci-Fi & Fantasy, Dramas",A gripping story that unfolds over time.,2016,December,,3.0,Sci-Fi & Fantasy
s81,TV Show,Broken Dreams,Not Given,"Actor 108, Actor 586",United States,2002-06-07,2002,TV-PG,1 Seasons,"Children & Family Movies, Crime TV Shows",A gripping story that unfolds over time.,2002,June,,1.0,Children & Family Movies
s82,Movie,Dark City,Director 26,"Actor 521, Actor 783",France,2022-01-10,2019,PG,90 min,"Horror Movies, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2022,January,90.0,,Horror Movies
s83,Movie,Final Kingdom,Not Given,"Actor 561, Actor 483",Spain,2011-08-12,2010,TV-14,124 min,Reality TV,A gripping story that unfolds over time.,2011,August,124.0,,Reality TV
s84,TV Show,Silent Dreams,Director 459,"Actor 999, Actor 280",United States,2006-06-14,2006,TV-Y7,6 Seasons,Action & Adventure,A gripping story that unfolds over time.,2006,June,,6.0,Action & Adventure
s85,Movie,Rising Shadows,Not Given,"Actor 160, Actor 149",Germany,2021-07-08,2020,PG-13,129 min,"Comedies, Anime Series",A gripping story that unfolds over time.,2021,July,129.0,,Comedies
s86,TV Show,Final Legacy,Director 311,"Actor 208, Actor 618",India,2019-12-25,2018,PG-13,5 Seasons,Horror Movies,A gripping story that unfolds over time.,2019,December,,5.0,Horror Movies
s87,TV Show,Broken City,Director 161,"Actor 784, Actor 460",Turkey,2003-12-06,2000,TV-G,6 Seasons,Kids' TV,A gripping story that unfolds over time.,2003,December,,6.0,Kids' TV
s88,Movie,Broken Shadows,Director 427,"Actor 143, Actor 342",United States,2005-01-05,2002,PG,124 min,Romantic Movies,A gripping story that unfolds over time.,2005,January,124.0,,Romantic Movies
s89,Movie,Hidden Horizon,Director 256,"Actor 266, Actor 537",Canada,2014-10-02,2014,PG,151 min,Reality TV,A gripping story that unfolds over time.,2014,October,151.0,,Reality TV
s90,Movie,Broken Chronicles,Not Given,"Actor 12, Actor 800",France,2026-01-13,2023,R,148 min,"Kids' TV, Crime TV Shows",A gripping story that unfolds over time.,2026,January,148.0,,Kids' TV
s91,TV Show,Forgotten Shadows,Not Given,"Actor 983, Actor 83",Brazil,2023-12-09,2023,TV-G,5 Seasons,"Action & Adventure, Stand-Up Comedy",A gripping story that unfolds over time.,2023,December,,5.0,Action & Adventure
s92,Movie,Hidden Journey,Director 483,"Actor 519, Actor 155",United States,2004-03-22,2003,PG,132 min,"Documentaries, Crime TV Shows",A gripping story that unfolds over time.,2004,March,132.0,,Documentaries
s93,TV Show,Hidden Journey,Director 164,"Actor 465, Actor 995",United States,2021-05-17,2020,PG-13,5 Seasons,"Documentaries, Romantic Movies",A gripping story that unfolds over time.,2021,May,,5.0,Documentaries
s94,Movie,Final Kingdom,Director 425,"Actor 129, Actor 130",United States,2016-07-16,2013,TV-MA,133 min,"Horror Movies, Crime TV Shows",A gripping story that unfolds over time.,2016,July,133.0,,Horror Movies
s95,Movie,Golden Signal,Director 333,"Actor 200, Actor 505",Germany,2023-12-23,2022,TV-Y7,134 min,"Reality TV, International Movies",A gripping story that unfolds over time.,2023,December,134.0,,Reality TV
s96,TV Show,Golden City,Director 111,"Actor 992, Actor 368",United States,2005-03-17,2002,TV-G,8 Seasons,Children & Family Movies,A gripping story that unfolds over time.,2005,March,,8.0,Children & Family Movies
s97,Movie,Rising Heist,Director 160,"Actor 351, Actor 912",India,2021-09-02,2021,PG,71 min,"Sci-Fi & Fantasy, Anime Series",A gripping story that unfolds over time.,2021,September,71.0,,Sci-Fi & Fantasy
s98,Movie,Last Empire,Director 222,"Actor 631, Actor 39",United States,2013-02-17,2010,TV-PG,90 min,Dramas,A gripping story that unfolds over time.,2013,February,90.0,,Dramas
s99,Movie,Hidden Journey,Director 95,"Actor 463, Actor 407",Italy,2015-05-24,2015,R,148 min,"Sci-Fi & Fantasy, Comedies",A gripping story that unfolds over time.,2015,May,148.0,,Sci-Fi & Fantasy
s100,Movie,Broken Empire,Director 354,"Actor 491, Actor 473",Canada,2012-01-10,2012,TV-G,168 min,Anime Series,A gripping story that unfolds over time.,2012,January,168.0,,Anime Series
s101,TV Show,Broken Heist,Director 312,"Actor 211, Actor 101",South Korea,2024-11-26,2022,TV-Y7,8 Seasons,"Romantic Movies, Documentaries",A gripping story that unfolds over time.,2024,November,,8.0,Romantic Movies
s102,Movie,Broken Kingdom,Director 3,"Actor 728, Actor 741",Brazil,2016-10-16,2013,R,140 min,Horror Movies,A gripping story that unfolds over time.,2016,October,140.0,,Horror Movies
s103,Movie,Broken Horizon,Not Given,"Actor 183, Actor 113",South Korea,2022-08-23,2019,PG-13,117 min,"Horror Movies, Crime TV Shows",A gripping story that unfolds over time.,2022,August,117.0,,Horror Movies
s104,Movie,Final Journey,Director 461,"Actor 619, Actor 625",Germany,2011-11-22,2011,TV-14,130 min,Comedies,A gripping story that unfolds over time.,2011,November,130.0,,Comedies
s105,Movie,Broken Storm,Director 280,"Actor 313, Actor 612",Nigeria,2015-03-06,2015,TV-14,108 min,"Romantic Movies, Anime Series",A gripping story that unfolds over time.,2015,March,108.0,,Romantic Movies
s106,Movie,Lost Dreams,Not Given,"Actor 841, Actor 813",India,2010-12-04,2007,PG-13,158 min,"Dramas, Stand-Up Comedy",A gripping story that unfolds over time.,2010,December,158.0,,Dramas
s107,Movie,Golden Dreams,Not Given,"Actor 599, Actor 730",United States,2003-11-05,2002,TV-14,90 min,"Horror Movies, Stand-Up Comedy",A gripping story that unfolds over time.,2003,November,90.0,,Horror Movies
s108,Movie,Hidden Signal,Not Given,"Actor 598, Actor 177",France,2013-05-17,2013,TV-PG,127 min,Anime Series,A gripping story that unfolds over time.,2013,May,127.0,,Anime Series
s109,Movie,Lost Signal,Director 243,"Actor 831, Actor 561",United Kingdom,2008-01-07,2007,TV-14,128 min,Dramas,A gripping story that unfolds over time.,2008,January,128.0,,Dramas
s110,TV Show,Endless Horizon,Director 227,"Actor 774, Actor 679",Canada,2018-04-20,2015,TV-MA,8 Seasons,"Thrillers, Stand-Up Comedy",A gripping story that unfolds over time.,2018,April,,8.0,Thrillers
s111,Movie,Hidden Storm,Director 283,"Actor 626, Actor 875",United Kingdom,2013-03-08,2011,TV-PG,149 min,Children & Family Movies,A gripping story that unfolds over time.,2013,March,149.0,,Children & Family Movies
s112,Movie,Golden Journey,Director 412,"Actor 102, Actor 506",Mexico,2019-08-27,2017,PG-13,99 min,"Comedies, Romantic Movies",A gripping story that unfolds over time.,2019,August,99.0,,Comedies
s113,Movie,Hidden Signal,Not Given,"Actor 982, Actor 131",Canada,2000-03-12,2000,PG-13,142 min,Thrillers,A gripping story that unfolds over time.,2000,March,142.0,,Thrillers
s114,Movie,Lost Kingdom,Director 271,"Actor 859, Actor 931",Australia,2005-12-01,2005,R,138 min,"Anime Series, Children & Family Movies",A gripping story that unfolds over time.,2005,December,138.0,,Anime Series
s115,Movie,Lost Journey,Director 302,"Actor 654, Actor 996",South Korea,2019-03-12,2018,TV-MA,168 min,"International Movies, Reality TV",A gripping story that unfolds over time.,2019,March,168.0,,International Movies
s116,Movie,Silent Heist,Not Given,"Actor 856, Actor 270",Japan,2024-02-26,2021,TV-MA,153 min,"Documentaries, International Movies",A gripping story that unfolds over time.,2024,February,153.0,,Documentaries
s117,TV Show,Endless City,Not Given,"Actor 286, Actor 265",Italy,2004-03-01,2004,R,5 Seasons,Children & Family Movies,A gripping story that unfolds over time.,2004,March,,5.0,Children & Family Movies
s118,Movie,Dark Kingdom,Director 267,"Actor 576, Actor 494",United States,2011-05-18,2009,PG,117 min,Reality TV,A gripping story that unfolds over time.,2011,May,117.0,,Reality TV
s119,Movie,Rising City,Director 361,"Actor 659, Actor 26",United States,2021-04-20,2018,PG,145 min,"Children & Family Movies, Thrillers",A gripping story that unfolds over time.,2021,April,145.0,,Children & Family Movies
s120,Movie,Last Empire,Not Given,"Actor 665, Actor 722",France,2019-06-17,2017,PG,156 min,International Movies,A gripping story that unfolds over time.,2019,June,156.0,,International Movies
s121,Movie,Last Kingdom,Not Given,"Actor 892, Actor 865",United States,2019-08-26,2017,TV-G,131 min,"Stand-Up Comedy, Comedies",A gripping story that unfolds over time.,2019,August,131.0,,Stand-Up Comedy
s122,Movie,Dark Heist,Not Given,"Actor 558, Actor 557",United States,2016-10-01,2013,TV-PG,88 min,"Comedies, Crime TV Shows",A gripping story that unfolds over time.,2016,October,88.0,,Comedies
s123,Movie,Broken Shadows,Director 161,"Actor 639, Actor 420",South Korea,2023-08-18,2020,TV-14,87 min,Comedies,A gripping story that unfolds over time.,2023,August,87.0,,Comedies
s124,Movie,Lost Chronicles,Not Given,"Actor 454, Actor 667",Mexico,2020-04-21,2017,R,108 min,"Anime Series, Dramas",A gripping story that unfolds over time.,2020,April,108.0,,Anime Series
s125,TV Show,Rising Journey,Director 429,"Actor 375, Actor 73",Australia,2005-08-21,2002,TV-14,6 Seasons,Action & Adventure,A gripping story that unfolds over time.,2005,August,,6.0,Action & Adventure
s126,TV Show,Endless Signal,Not Given,"Actor 833, Actor 193",India,2019-02-15,2016,R,5 Seasons,International Movies,A gripping story that unfolds over time.,2019,February,,5.0,International Movies
s127,Movie,Broken Kingdom,Not Given,"Actor 344, Actor 443",Japan,2003-02-03,2000,PG-13,119 min,Horror Movies,A gripping story that unfolds over time.,2003,February,119.0,,Horror Movies
s128,TV Show,Dark City,Director 285,"Actor 77, Actor 59",Mexico,2013-06-15,2011,R,4 Seasons,Anime Series,A gripping story that unfolds over time.,2013,June,,4.0,Anime Series
s129,Movie,Final Kingdom,Director 21,"Actor 300, Actor 139",Canada,2004-06-07,2001,PG,154 min,Crime TV Shows,A gripping story that unfolds over time.,2004,June,154.0,,Crime TV Shows
s130,Movie,Golden Storm,Not Given,"Actor 657, Actor 613",Turkey,2007-08-04,2005,TV-G,154 min,Horror Movies,A gripping story that unfolds over time.,2007,August,154.0,,Horror Movies
s131,TV Show,Silent Horizon,Director 352,"Actor 582, Actor 695",France,2006-05-26,2004,R,2 Seasons,"Documentaries, Kids' TV",A gripping story that unfolds over time.,2006,May,,2.0,Documentaries
s132,Movie,Broken Storm,Director 328,"Actor 116, Actor 941",United Kingdom,2016-08-17,2015,TV-G,104 min,Romantic Movies,A gripping story that unfolds over time.,2016,August,104.0,,Romantic Movies
s133,Movie,Rising Shadows,Director 286,"Actor 57, Actor 734",United States,2012-03-15,2009,TV-G,110 min,Anime Series,A gripping story that unfolds over time.,2012,March,110.0,,Anime Series
s134,TV Show,Last Legacy,Not Given,"Actor 265, Actor 802",United States,2007-01-14,2006,TV-Y7,3 Seasons,"Comedies, Stand-Up Comedy",A gripping story that unfolds over time.,2007,January,,3.0,Comedies
s135,Movie,Hidden Shadows,Director 415,"Actor 508, Actor 290",United States,2021-06-07,2019,PG-13,159 min,"Thrillers, Kids' TV",A gripping story that unfolds over time.,2021,June,159.0,,Thrillers
s136,Movie,Lost Kingdom,Director 74,"Actor 10, Actor 484",Mexico,2012-07-08,2009,TV-Y7,124 min,Comedies,A gripping story that unfolds over time.,2012,July,124.0,,Comedies
s137,Movie,Forgotten Chronicles,Director 479,"Actor 241, Actor 861",South Korea,2019-02-26,2018,TV-MA,145 min,"Documentaries, Dramas",A gripping story that unfolds over time.,2019,February,145.0,,Documentaries
s138,TV Show,Silent Horizon,Director 179,"Actor 421, Actor 401",France,2016-07-26,2016,TV-G,1 Seasons,"Reality TV, Stand-Up Comedy",A gripping story that unfolds over time.,2016,July,,1.0,Reality TV
s139,Movie,Secret Journey,Director 293,"Actor 810, Actor 913",Australia,2019-11-05,2016,TV-PG,153 min,Comedies,A gripping story that unfolds over time.,2019,November,153.0,,Comedies
s140,Movie,Secret Chronicles,Director 470,"Actor 993, Actor 100",United Kingdom,2014-09-13,2011,TV-PG,107 min,"Dramas, Crime TV Shows",A gripping story that unfolds over time.,2014,September,107.0,,Dramas
